"","age","sex","marital_status","race","edu","wage"
"137553",60,1,0,1,8,8.3150770072941
"108816",35,1,0,1,12,9.90373752129133
"534460",30,1,0,1,17,9.68065645240396
"156937",52,2,0,2,6,6.91274282049318
"487675",33,2,0,1,18,8.82541291508557
"121979",34,1,0,1,12,9.54716968769421
"557654",31,1,0,1,10,8.77261030328074
"281509",55,1,0,1,12,9.39307850865535
"405245",34,2,0,1,16,8.91126025457203
"56643",48,2,0,2,6,10.0152525158669
"48233",31,1,0,2,14,8.00803284696931
"495879",56,2,0,1,19,7.65207074611648
"99116",40,1,0,1,12,9.99902497924519
"598511",31,2,0,1,12,8.98782162543081
"498413",49,2,0,1,12,9.20079495913265
"273234",48,2,0,1,13,9.47308917788275
"498788",54,1,0,1,14,9.64244741103077
"382064",33,2,0,1,16,9.65534665470488
"269430",32,1,0,2,3,5.87211778947542
"554378",51,2,0,1,14,9.38974100034247
"288706",42,1,0,1,14,9.47308917788275
"269745",34,2,0,2,11,8.91798070997329
"515222",41,1,0,2,10,9.47308917788275
"450485",51,2,0,1,14,9.62145615159316
"323336",55,2,0,1,12,8.79558221695643
"267408",34,2,0,2,8,8.46695197497949
"127479",48,2,0,2,4,8.79558221695643
"527987",49,1,0,1,17,8.8180382503943
"486401",39,2,0,1,10,8.68524677641249
"540385",31,2,0,1,12,9.0864763847538
"133822",30,2,0,1,12,9.10553525761006
"232225",55,1,0,1,15,8.61341204915678
"359748",34,2,0,1,15,9.52988441757671
"155727",31,2,0,2,14,9.47308917788275
"545872",33,1,0,1,20,10.4632461874113
"221413",57,2,0,1,10,8.65259782842244
"312334",60,2,0,1,12,8.51819269174932
"429207",34,1,0,1,12,9.46304272553194
"561684",38,1,0,2,12,9.0246130220474
"234710",58,2,0,2,10,8.98782162543081
"121965",58,1,0,1,2,4.65396035015752
"560990",30,1,0,1,17,9.43308384326905
"125893",56,2,0,2,13,9.66681540099209
"580482",31,1,0,1,16,10.1629630330977
"143730",31,1,0,1,12,9.68065645240396
"562556",53,1,0,1,9,6.73933662735717
"289927",38,1,0,1,12,9.39307850865535
"409670",30,1,0,1,16,9.25004173882773
"166963",52,1,0,1,14,9.77024183338877
"111863",58,2,0,1,16,8.51819269174932
"391475",59,1,0,1,12,9.30610499396056
"289147",42,1,0,2,4,9.73240262766816
"198290",37,2,0,2,11,9.08307502093031
"87111",34,2,0,1,16,9.47998575694181
"491353",45,2,0,1,20,9.84612323514656
"293191",30,1,0,1,12,9.19877373560472
"524866",38,1,0,1,12,9.62145615159316
"209636",31,1,0,1,12,9.29514097366865
"227568",36,2,0,2,7,7.82604401351897
"285697",32,2,0,2,12,8.59322787769223
"104415",33,1,0,1,12,8.92332474406756
"506895",60,1,0,1,11,10.203777313027
"350395",48,2,0,1,13,8.98782162543081
"405248",50,2,0,1,12,9.39307850865535
"242283",32,2,0,1,17,9.68377560652361
"232273",59,2,0,2,12,7.72533003791713
"574079",30,1,0,1,12,6.55819780281227
"597830",36,1,0,1,15,9.8230906154641
"374983",37,2,0,1,12,9.85245738142335
"517872",33,1,0,2,12,9.79840477608298
"69475",57,2,0,2,6,6.4377516497364
"66517",38,1,0,2,12,6.26339826259162
"399994",40,2,0,1,12,9.21084024701783
"575614",54,1,0,1,9,8.66819606495276
"141183",33,1,0,1,10,9.11107237031751
"483088",34,1,0,1,12,9.74712609741171
"57128",47,1,0,2,6,8.51819269174932
"204393",34,2,0,1,18,8.19007704971905
"244348",30,1,0,1,15,9.85245738142335
"296913",59,2,0,1,10,8.85437945877111
"156168",59,2,0,1,12,9.05543941075822
"277175",32,1,0,1,16,9.68065645240396
"362971",56,1,0,2,8,8.51819269174932
"297452",31,2,0,1,12,9.67815410514888
"386909",30,1,0,1,16,8.51819269174932
"370513",30,2,0,1,12,9.03061544102949
"139316",51,2,0,1,16,9.47308917788275
"541147",34,1,0,1,8,5.41610040220442
"234102",35,1,0,1,17,9.68065645240396
"489930",37,2,0,1,12,9.79562390666018
"518462",30,2,0,1,12,8.51819269174932
"80145",43,1,0,1,9,9.10553525761006
"416357",34,2,0,2,12,8.78032639094661
"283836",30,2,0,1,17,9.47308917788275
"309579",32,2,0,1,12,8.88253050843362
"352472",48,2,0,1,12,9.20683423264689
"481635",30,2,0,1,16,9.47308917788275
"409729",37,2,0,2,11,11.2252433925184
"8223",40,2,0,1,12,9.30610499396056
"74935",38,2,0,1,14,9.21084024701783
"446581",31,2,0,2,12,9.09436819572376
"489796",52,2,0,1,14,9.54716968769421
"151799",33,2,0,1,8,6.22455842927536
"157630",31,1,0,1,12,9.47308917788275
"308976",31,2,0,1,16,9.2596066132791
"137122",33,1,0,2,12,8.70034773451408
"434309",31,1,0,1,16,8.29529885950246
"233759",32,2,0,2,12,8.39049553837028
"509187",48,2,0,1,10,6.37161184723186
"166898",31,2,0,1,16,9.5822486965555
"341110",33,1,0,1,18,9.83868232917001
"335646",55,2,0,1,12,9.15957325492253
"155238",40,1,0,1,10,9.21084024701783
"223698",44,1,0,2,11,6.55819780281227
"225519",46,1,0,1,3,9.19877373560472
"520296",53,2,0,1,12,9.24908020029211
"401867",35,1,0,1,12,8.85437945877111
"430804",39,2,0,1,12,8.51819269174932
"514729",33,1,0,1,12,8.021256180144
"54204",52,2,0,1,9,7.72090525193678
"259772",59,1,0,1,8,9.11657899216171
"214151",37,1,0,2,12,8.98782162543081
"15899",31,1,0,1,18,9.85245738142335
"392601",33,2,0,1,12,7.55747290161475
"184056",48,2,0,1,16,9.96434744079289
"77348",59,2,0,1,16,10.1660441062072
"121274",42,2,0,2,12,9.14366623870819
"583678",42,2,0,1,20,9.98759889515478
"488676",33,2,0,2,10,6.30078579466324
"513079",44,2,0,1,20,9.71141864428729
"291737",33,1,0,1,12,8.47741232140439
"14540",47,1,0,1,13,9.36947859331448
"407770",53,1,0,1,12,9.30610499396056
"274489",34,1,0,2,12,9.08307502093031
"364419",56,2,0,1,13,9.35053700246947
"143852",43,1,0,1,16,10.6233983703653
"7792",32,1,0,1,19,8.70034773451408
"216663",30,2,0,1,14,8.26230094178745
"249667",30,1,0,1,19,9.5313363234579
"202201",46,2,0,1,7,8.31262602567496
"584142",30,2,0,1,20,8.48363640788739
"224157",34,1,0,2,5,8.98782162543081
"586140",48,1,0,1,9,8.00803284696931
"145646",31,2,0,1,12,9.10553525761006
"133515",47,1,0,1,8,8.51819269174932
"311597",33,1,0,1,12,8.07246736935477
"535712",57,2,0,1,12,9.30610499396056
"420837",57,1,0,1,12,10.0839323493172
"383921",41,1,0,1,20,8.00803284696931
"326788",52,2,0,1,10,9.40960098282706
"126345",40,1,0,2,20,9.10553525761006
"311370",51,2,0,1,13,8.29529885950246
"533846",60,2,0,1,15,8.38594490480628
"117921",32,1,0,1,12,10.0276943559903
"147005",30,1,0,2,14,9.39307850865535
"136872",46,2,0,1,13,9.61613875787447
"62294",35,1,0,2,12,8.29529885950246
"448028",30,2,0,1,12,9.47308917788275
"265407",48,1,0,1,19,9.99902497924519
"598944",53,2,0,1,12,9.19573421958682
